n,deck,owner,date,winrate,ngames,nwins,nloss,elo,glicko,rd
17,Dino,Pierre,12/12/2020,0.7636363636363637,55,42,13,1656,1936,65
26,Monarques,JRE,27/02/2021,0.6153846153846154,13,8,5,1599,1930,100
8,Zombie,William,27/11/2020,0.5714285714285714,35,20,15,1606,1822,76
29,Ogdoadic,JRE,30/05/2021,0.5,6,3,3,1531,1797,174
15,BetesSacrees,JRE,27/11/2020,0.5333333333333333,15,8,7,1533,1780,98
20,ArtisaneSorciere,William,09/01/2021,0.5925925925925926,27,16,11,1588,1753,75
21,Shaddoll,Pierre,11/01/2021,0.6363636363636364,33,21,12,1593,1732,71
6,Mechabot,Pierre,27/11/2020,0.6607142857142857,56,37,19,1553,1726,61
31,Infinitrack,Pierre,16/06/2021,0.6666666666666666,6,4,2,1529,1683,143
10,Amazonesse,William,27/11/2020,0.48717948717948717,39,19,20,1462,1669,66
1,Defense,William,25/11/2020,0.5,14,7,7,1521,1664,103
3,MagicienSombre,Pierre,25/11/2020,0.5238095238095238,105,55,50,1533,1660,60
5,Kaiju,Pierre,27/11/2020,0.6129032258064516,31,19,12,1540,1653,73
32,Magistus,JRE,07/07/2021,0.5,2,1,1,1502,1631,238
18,RedEyes,William,20/12/2020,0.4146341463414634,41,17,24,1410,1623,63
28,Springans,JRE,17/05/2021,0.5454545454545454,11,6,5,1497,1619,104
12,YeuxBleus,JRE,27/11/2020,0.5,26,13,13,1476,1610,76
13,Chaos,JRE,27/11/2020,0.5,12,6,6,1483,1609,108
7,DragonLS,William,27/11/2020,0.4507042253521127,71,32,39,1492,1602,60
16,Exodia,JRE,28/11/2020,0.5,22,11,11,1472,1592,86
25,BLS,Pierre,18/02/2021,0.5185185185185185,27,14,13,1469,1582,73
9,Guerrier,William,27/11/2020,0.4117647058823529,34,14,20,1424,1576,66
24,Danger,JRE,13/02/2021,0.5,12,6,6,1475,1571,105
11,Virus,JRE,27/11/2020,0.42857142857142855,28,12,16,1447,1550,76
27,Rituel,Pierre,04/05/2021,0.5,12,6,6,1440,1533,107
4,Samourai,William,25/11/2020,0.3225806451612903,31,10,21,1418,1533,79
22,Darkworld,JRE,26/01/2021,0.3684210526315789,19,7,12,1399,1525,87
23,Rocher,William,04/02/2021,0.3225806451612903,31,10,21,1428,1513,84
14,DieuxEgyptiens,JRE,27/11/2020,0.3870967741935484,31,12,19,1383,1501,73
19,Kawai,William,23/12/2020,0.21428571428571427,28,6,22,1283,1371,79
30,BG,William,07/06/2021,0.0,2,0,2,1465,1346,232
2,Nordique,Pierre,25/11/2020,0.2857142857142857,21,6,15,1351,1335,94
