n,deck1,deck2,date,elo1,elo2,gl1,rd1,gl2,rd2
1,Nordique,Defense,25/11/2020,1520.0,1480.0,1662.0,290.0,1383.0,286.0
2,Defense,Nordique,25/11/2020,1502.0,1497.0,1593.0,254.0,1508.0,244.0
3,MagicienSombre,Samourai,25/11/2020,1520.0,1480.0,1662.0,290.0,1383.0,286.0
4,MagicienSombre,Samourai,25/11/2020,1537.0,1462.0,1727.0,257.0,1330.0,257.0
5,MagicienSombre,Samourai,27/11/2020,1552.0,1446.0,1763.0,238.0,1298.0,240.0
6,Kaiju,Samourai,27/11/2020,1516.0,1429.0,1604.0,283.0,1253.0,221.0
7,Kaiju,Samourai,27/11/2020,1531.0,1413.0,1652.0,254.0,1225.0,209.0
8,Mechabot,DragonMeule,27/11/2020,1520.0,1480.0,1662.0,290.0,1383.0,286.0
9,DieuxEgyptiens,MagicienSombre,28/11/2020,1522.0,1529.0,1797.0,289.0,1674.0,212.0
10,DieuxEgyptiens,MagicienSombre,28/11/2020,1542.0,1508.0,1896.0,241.0,1627.0,195.0
11,Virus,Amazonesse,28/11/2020,1520.0,1480.0,1662.0,290.0,1383.0,286.0
12,Mechabot,Zombie,28/11/2020,1538.0,1481.0,1750.0,256.0,1407.0,290.0
13,MagicienSombre,Exodia,28/11/2020,1527.0,1480.0,1676.0,183.0,1390.0,274.0
14,MagicienSombre,ChaosMAX,28/11/2020,1545.0,1481.0,1715.0,173.0,1401.0,277.0
15,Samourai,Nordique,28/11/2020,1437.0,1472.0,1360.0,194.0,1358.0,213.0
16,Defense,DieuxEgyptiens,29/11/2020,1524.0,1519.0,1787.0,230.0,1765.0,211.0
17,DieuxEgyptiens,MagicienSombre,30/11/2020,1540.0,1523.0,1841.0,186.0,1670.0,160.0
18,MagicienSombre,DieuxEgyptiens,30/11/2020,1543.0,1519.0,1748.0,150.0,1749.0,168.0
19,DieuxEgyptiens,MagicienSombre,30/11/2020,1540.0,1521.0,1810.0,154.0,1705.0,140.0
20,Kaiju,Amazonesse,30/11/2020,1548.0,1462.0,1706.0,230.0,1328.0,254.0
21,Amazonesse,Virus,30/11/2020,1485.0,1496.0,1514.0,233.0,1477.0,245.0
22,Nordique,Zombie,30/11/2020,1492.0,1460.0,1446.0,194.0,1282.0,236.0
23,Defense,Kaiju,03/12/2020,1545.0,1526.0,1865.0,203.0,1642.0,204.0
24,Amazonesse,MagicienSombre,03/12/2020,1507.0,1498.0,1675.0,204.0,1659.0,133.0
25,MagicienSombre,Amazonesse,03/12/2020,1518.0,1486.0,1699.0,126.0,1594.0,179.0
26,DieuxEgyptiens,Samourai,04/12/2020,1554.0,1422.0,1821.0,150.0,1344.0,187.0
27,DieuxEgyptiens,Samourai,04/12/2020,1566.0,1409.0,1830.0,147.0,1331.0,181.0
28,DragonMeule,Virus,04/12/2020,1500.0,1475.0,1543.0,241.0,1387.0,214.0
29,Virus,DragonMeule,04/12/2020,1496.0,1478.0,1503.0,194.0,1426.0,207.0
30,Virus,DragonMeule,04/12/2020,1514.0,1459.0,1564.0,176.0,1368.0,186.0
31,Mechabot,Zombie,05/12/2020,1553.0,1444.0,1777.0,241.0,1260.0,225.0
32,Mechabot,Zombie,05/12/2020,1566.0,1430.0,1797.0,230.0,1243.0,217.0
33,DragonMeule,Kaiju,05/12/2020,1482.0,1502.0,1484.0,174.0,1524.0,184.0
34,DragonMeule,Kaiju,05/12/2020,1503.0,1480.0,1553.0,160.0,1458.0,166.0
35,DragonMeule,MagicienSombre,05/12/2020,1523.0,1497.0,1634.0,148.0,1655.0,120.0
36,DragonMeule,MagicienSombre,05/12/2020,1541.0,1478.0,1687.0,137.0,1623.0,114.0
37,MagicienSombre,DragonMeule,05/12/2020,1501.0,1517.0,1660.0,109.0,1638.0,128.0
38,Mechabot,Exodia,07/12/2020,1581.0,1464.0,1826.0,217.0,1355.0,253.0
39,Exodia,Mechabot,07/12/2020,1490.0,1554.0,1598.0,238.0,1691.0,199.0
40,Exodia,Mechabot,07/12/2020,1513.0,1530.0,1725.0,207.0,1619.0,179.0
41,Kaiju,ChaosMAX,07/12/2020,1500.0,1460.0,1504.0,156.0,1301.0,228.0
42,Virus,Dino,12/12/2020,1533.0,1480.0,1611.0,167.0,1369.0,266.0
43,Dino,Virus,12/12/2020,1503.0,1509.0,1580.0,231.0,1550.0,156.0
44,Dino,Virus,12/12/2020,1523.0,1488.0,1674.0,198.0,1512.0,146.0
45,Kaiju,ChaosMAX,12/12/2020,1517.0,1442.0,1532.0,148.0,1251.0,204.0
46,ChaosMAX,Kaiju,12/12/2020,1466.0,1492.0,1401.0,188.0,1468.0,140.0
47,ChaosMAX,Kaiju,12/12/2020,1487.0,1470.0,1489.0,169.0,1426.0,132.0
48,Mechabot,DieuxEgyptiens,12/12/2020,1552.0,1543.0,1727.0,166.0,1768.0,138.0
49,Mechabot,DieuxEgyptiens,12/12/2020,1571.0,1523.0,1794.0,152.0,1727.0,130.0
50,Mechabot,DieuxEgyptiens,12/12/2020,1588.0,1505.0,1837.0,141.0,1698.0,123.0
51,Dino,Exodia,13/12/2020,1542.0,1493.0,1760.0,179.0,1647.0,184.0
52,Dino,Exodia,13/12/2020,1559.0,1475.0,1809.0,164.0,1602.0,169.0
53,Mechabot,BetesSacrees,13/12/2020,1603.0,1484.0,1852.0,137.0,1437.0,296.0
54,BetesSacrees,Mechabot,13/12/2020,1510.0,1576.0,1778.0,268.0,1807.0,131.0
55,Kaiju,DieuxEgyptiens,13/12/2020,1492.0,1482.0,1496.0,127.0,1642.0,118.0
56,MagicienSombre,YeuxBleus,13/12/2020,1520.0,1480.0,1675.0,107.0,1392.0,266.0
57,YeuxBleus,MagicienSombre,13/12/2020,1502.0,1497.0,1635.0,232.0,1647.0,104.0
58,BetesSacrees,Mechabot,14/12/2020,1533.0,1552.0,1914.0,218.0,1778.0,125.0
59,Kaiju,DieuxEgyptiens,14/12/2020,1511.0,1462.0,1550.0,121.0,1599.0,113.0
60,YeuxBleus,MagicienSombre,14/12/2020,1521.0,1477.0,1743.0,196.0,1627.0,101.0
61,Dino,DragonMeule,17/12/2020,1576.0,1499.0,1844.0,152.0,1617.0,123.0
62,Dino,DragonMeule,17/12/2020,1591.0,1483.0,1869.0,144.0,1601.0,119.0
63,Dino,DragonMeule,17/12/2020,1604.0,1469.0,1888.0,138.0,1588.0,116.0
64,Amazonesse,Nordique,17/12/2020,1506.0,1471.0,1637.0,165.0,1402.0,177.0
65,Amazonesse,Nordique,17/12/2020,1523.0,1453.0,1665.0,155.0,1372.0,166.0
66,Guerrier,Dino,20/12/2020,1525.0,1578.0,1925.0,301.0,1854.0,133.0
67,Dino,Guerrier,20/12/2020,1594.0,1508.0,1893.0,128.0,1765.0,235.0
68,Exodia,Samourai,20/12/2020,1491.0,1392.0,1628.0,160.0,1304.0,170.0
69,Exodia,Samourai,20/12/2020,1505.0,1377.0,1647.0,153.0,1284.0,162.0
70,Mechabot,DieuxEgyptiens,20/12/2020,1566.0,1447.0,1799.0,120.0,1582.0,109.0
71,Mechabot,DieuxEgyptiens,20/12/2020,1579.0,1433.0,1816.0,116.0,1568.0,106.0
72,YeuxRouges,Nordique,20/12/2020,1517.0,1435.0,1624.0,267.0,1344.0,158.0
73,Nordique,YeuxRouges,20/12/2020,1459.0,1492.0,1422.0,152.0,1424.0,228.0
74,YeuxRouges,Nordique,20/12/2020,1510.0,1440.0,1523.0,196.0,1384.0,143.0
75,Dino,Guerrier,20/12/2020,1609.0,1492.0,1918.0,123.0,1697.0,203.0
76,YeuxRouges,MagicienSombre,21/12/2020,1528.0,1458.0,1629.0,174.0,1602.0,98.0
77,YeuxRouges,MagicienSombre,21/12/2020,1544.0,1441.0,1691.0,157.0,1583.0,95.0
78,MagicienSombre,YeuxRouges,21/12/2020,1466.0,1518.0,1611.0,92.0,1620.0,144.0
79,Mechabot,Defense,21/12/2020,1597.0,1526.0,1850.0,112.0,1775.0,178.0
80,Guerrier,Kaiju,21/12/2020,1513.0,1489.0,1752.0,181.0,1531.0,117.0
81,Kaiju,Guerrier,21/12/2020,1510.0,1491.0,1579.0,113.0,1645.0,165.0
82,Kaiju,Guerrier,21/12/2020,1528.0,1472.0,1614.0,109.0,1577.0,150.0
83,Dino,Samourai,21/12/2020,1617.0,1368.0,1920.0,122.0,1279.0,160.0
84,DieuxEgyptiens,DragonMeule,22/12/2020,1455.0,1446.0,1597.0,102.0,1555.0,110.0
85,DieuxEgyptiens,DragonMeule,22/12/2020,1474.0,1426.0,1620.0,98.0,1529.0,105.0
86,Dino,Zombie,22/12/2020,1627.0,1419.0,1922.0,121.0,1236.0,213.0
87,Zombie,Dino,22/12/2020,1449.0,1596.0,1467.0,209.0,1860.0,119.0
88,Dino,Zombie,22/12/2020,1608.0,1436.0,1868.0,117.0,1445.0,197.0
89,Kawai,MagicienSombre,23/12/2020,1518.0,1447.0,1737.0,257.0,1597.0,90.0
90,MagicienSombre,Kawai,23/12/2020,1471.0,1493.0,1619.0,88.0,1571.0,213.0
91,Kawai,MagicienSombre,23/12/2020,1511.0,1452.0,1677.0,183.0,1603.0,86.0
92,MagicienSombre,Kawai,23/12/2020,1475.0,1487.0,1624.0,84.0,1591.0,163.0
93,Guerrier,MagicienSombre,27/12/2020,1492.0,1454.0,1637.0,138.0,1606.0,82.0
94,MagicienSombre,Guerrier,27/12/2020,1476.0,1469.0,1624.0,80.0,1588.0,129.0
95,MagicienSombre,Guerrier,27/12/2020,1495.0,1449.0,1638.0,78.0,1552.0,121.0
