n,deck1,deck2,date,elo1,elo2,gl1,rd1,gl2,rd2
1,Zouloux,Xari,25/06/2021,1520.0,1480.0,1662.0,290.0,1383.0,286.0
2,Xari,Zouloux,25/06/2021,1502.0,1497.0,1593.0,254.0,1508.0,244.0
3,Xari,Zouloux,25/06/2021,1521.0,1477.0,1682.0,221.0,1441.0,215.0
4,Zouloux,Xari,25/06/2021,1499.0,1498.0,1579.0,197.0,1565.0,196.0
5,Zouloux,Xari,25/06/2021,1518.0,1478.0,1653.0,177.0,1503.0,176.0
6,Zouloux,Xari,25/06/2021,1535.0,1460.0,1696.0,163.0,1465.0,163.0
7,Zouloux,Xari,25/06/2021,1550.0,1444.0,1724.0,153.0,1439.0,154.0
8,Zouloux,Xari,25/06/2021,1564.0,1429.0,1744.0,146.0,1419.0,147.0
9,Xari,Zouloux,25/06/2021,1456.0,1536.0,1507.0,141.0,1664.0,139.0
10,Soey,Zouloux,26/06/2021,1522.0,1513.0,1765.0,267.0,1633.0,133.0
11,Soey,Zouloux,26/06/2021,1541.0,1493.0,1851.0,222.0,1612.0,128.0
12,Zouloux,Soey,26/06/2021,1515.0,1518.0,1666.0,124.0,1700.0,196.0
13,Zouloux,Soey,26/06/2021,1535.0,1497.0,1703.0,119.0,1619.0,173.0
14,Zouloux,QC,27/06/2021,1552.0,1482.0,1719.0,116.0,1405.0,273.0
15,Zouloux,QC,27/06/2021,1568.0,1465.0,1730.0,114.0,1358.0,242.0
16,Zouloux,QC,27/06/2021,1582.0,1450.0,1738.0,112.0,1327.0,223.0
17,Zouloux,QC,27/06/2021,1594.0,1437.0,1745.0,110.0,1304.0,210.0
