n,deck,owner,date,elo,glicko,rd
1,Defense,William,25/11/2020,1545,1550,87
2,Nordique,Pierre,25/11/2020,1492,1492,87
3,MagicienSombre,Pierre,25/11/2020,1501,1517,70
4,Samourai,William,25/11/2020,1409,1406,80
5,Kaiju,Pierre,27/11/2020,1517,1521,79
6,Mechabot,Pierre,27/11/2020,1516,1536,76
7,DragonMeule,William,27/11/2020,1517,1520,77
8,Zombie,William,27/11/2020,1430,1422,88
9,Guerrier,William,27/11/2020,1500,1500,100
10,Amazonesse,William,27/11/2020,1486,1487,85
11,Virus,JRE,27/11/2020,1514,1515,85
12,YeuxBleus,JRE,27/11/2020,1500,1500,100
13,ChaosMAX,JRE,27/11/2020,1442,1435,90
14,DieuxEgyptiens,JRE,27/11/2020,1566,1572,79
15,BetesSacrees,JRE,27/11/2020,1500,1500,100
16,Exodia,JRE,28/11/2020,1485,1482,84
