n,deck,owner,date,elo,glicko,rd,winrate,ngames,nwins,nloss
14,DieuxEgyptiens,JRE,27/11/2020,1566,1572,79,0.75,8,6,2
1,Defense,William,25/11/2020,1545,1550,87,0.75,4,3,1
5,Kaiju,Pierre,27/11/2020,1517,1521,79,0.5714285714285714,7,4,3
7,DragonMeule,William,27/11/2020,1517,1520,77,0.5555555555555556,9,5,4
6,Mechabot,Pierre,27/11/2020,1516,1536,76,0.7142857142857143,7,5,2
11,Virus,JRE,27/11/2020,1514,1515,85,0.6,5,3,2
3,MagicienSombre,Pierre,25/11/2020,1501,1517,70,0.5333333333333333,15,8,7
9,Guerrier,William,27/11/2020,1500,1500,100,,0,0,0
12,YeuxBleus,JRE,27/11/2020,1500,1500,100,,0,0,0
15,BetesSacrees,JRE,27/11/2020,1500,1500,100,,0,0,0
2,Nordique,Pierre,25/11/2020,1492,1492,87,0.5,4,2,2
10,Amazonesse,William,27/11/2020,1486,1487,85,0.4,5,2,3
16,Exodia,JRE,28/11/2020,1485,1482,84,0.5,4,2,2
13,ChaosMAX,JRE,27/11/2020,1442,1435,90,0.0,2,0,2
8,Zombie,William,27/11/2020,1430,1422,88,0.0,4,0,4
4,Samourai,William,25/11/2020,1409,1406,80,0.125,8,1,7
