n,deck,owner,date,elo,glicko,rd
1,Defense,William,25/11/2020,1545,1550,87
2,Nordique,Pierre,25/11/2020,1492,1492,87
3,MagicienSombre,Pierre,25/11/2020,1477,1502,67
4,Samourai,William,25/11/2020,1409,1406,80
5,Kaiju,Pierre,27/11/2020,1521,1525,73
6,Mechabot,Pierre,27/11/2020,1540,1558,70
7,DragonMeule,William,27/11/2020,1517,1520,77
8,Zombie,William,27/11/2020,1430,1422,88
9,Guerrier,William,27/11/2020,1500,1500,100
10,Amazonesse,William,27/11/2020,1486,1487,85
11,Virus,JRE,27/11/2020,1488,1496,79
12,YeuxBleus,JRE,27/11/2020,1521,1526,90
13,ChaosMAX,JRE,27/11/2020,1474,1469,84
14,DieuxEgyptiens,JRE,27/11/2020,1463,1494,72
15,BetesSacrees,JRE,27/11/2020,1532,1538,90
16,Exodia,JRE,28/11/2020,1451,1452,80
17,Dino,Pierre,12/12/2020,1555,1560,85
